species,mean_early_raw_abundance,mean_advanced_raw_abundance,direction,mannwhitney_u,p_value,fdr,minus_log10_fdr,rank
Porphyromonas gingivalis,0.0008882879377431906,0.007089466019417476,advanced_high,51775.0,0.12044696296888825,0.8096130641300053,0.09172249255739376,230
GGB9634 SGB15095,0.03214105058365759,0.03335128640776699,advanced_high,50985.0,0.12242055177425963,0.8163790525672545,0.08810814735523793,231
Clostridiales unclassified SGB15145,0.02555070038910506,0.025376577669902912,early_high,49510.5,0.12250966377464621,0.8163790525672545,0.08810814735523793,232
Bacteroides eggerthii,0.34100280155642027,0.48931065533980583,advanced_high,49567.0,0.12461236949875505,0.82213128804046,0.08505882343485519,233
Anaerobutyricum hallii,0.3332823346303502,0.2765796844660194,early_high,49225.5,0.1250404934042653,0.82213128804046,0.08505882343485519,234
GGB3189 SGB4212,0.003465992217898833,0.015145800970873785,advanced_high,51790.0,0.12529272028667165,0.82213128804046,0.08505882343485519,235
Roseburia intestinalis,0.33288377431906613,0.31408458737864076,early_high,49406.5,0.12549998963618925,0.82213128804046,0.08505882343485519,236
GGB9618 SGB15065,0.0034447081712062253,0.0018957038834951456,early_high,51034.5,0.12694970716607987,0.8275398364049633,0.08221109082785283,237
Lachnospiraceae bacterium,0.7287046303501945,0.9309144417475728,advanced_high,49235.0,0.12739617145173432,0.8275398364049633,0.08221109082785283,238
GGB4773 SGB6607,0.0002782490272373541,0.0005356553398058253,advanced_high,51804.0,0.12995126728725823,0.840605268728457,0.07540789226000766,239
GGB4603 SGB6367,0.0033011284046692607,0.013345922330097088,advanced_high,51338.0,0.1327292002697686,0.8526387207453878,0.06923494869543659,240
GGB9631 SGB15087,0.03131486381322958,0.06922910194174757,advanced_high,50418.0,0.13291457419122799,0.8526387207453878,0.06923494869543659,241
GGB9560 SGB69175,0.00042389105058365757,0.0009762621359223301,advanced_high,51684.0,0.13605772574172256,0.8691952231268723,0.060882669115595874,242
GGB9696 SGB15212,0.00042657587548638136,0.0017316990291262135,advanced_high,51688.0,0.13730769219746503,0.8732874000802823,0.05884280586131563,243
GGB9640 SGB15115,0.0058109727626459145,0.006656577669902913,advanced_high,50614.0,0.13805615300680724,0.8732874000802823,0.05884280586131563,244
Lachnospiraceae bacterium OF09 6,0.0016224902723735405,0.0017469660194174756,advanced_high,50784.5,0.1383928932856851,0.8732874000802823,0.05884280586131563,245
Blautia obeum,0.28588801556420235,0.294781213592233,advanced_high,49370.0,0.1399541160657225,0.8792253124403007,0.05589981729191068,246
GGB6648 SGB9389,0.0009071206225680934,0.000872621359223301,early_high,51698.0,0.1404713144713805,0.8792253124403007,0.05589981729191068,247
Lawsonibacter sp NSJ 52,0.0009006225680933853,0.0038594902912621356,advanced_high,51103.0,0.14391770650198504,0.8971644123067294,0.047127961844914024,248
GGB9615 SGB15052,0.007053112840466926,0.0048873543689320394,early_high,55311.0,0.14528238197599921,0.8994764290520351,0.046010212937397,249
Trueperella pyogenes,0.0064166926070038915,0.0031139320388349516,early_high,56207.0,0.14545220392173916,0.8994764290520351,0.046010212937397,250
GGB9707 SGB15229,0.017582918287937743,0.022555800970873785,advanced_high,50031.0,0.14635315359950554,0.9014421333260382,0.045062146904750446,251
Alistipes ihumii,0.04378774319066148,0.05542961165048543,advanced_high,49763.0,0.15015244176056977,0.9201067675772736,0.0361617749595662,252
